👤UserName,⭐Rating,📝Content,💬DeveloperReply,📆Review_Year,📅Review_Month,📅Review_Day,⏰Review_Hour_12,🌓Review_AM_PM,🕰️Review_Period,🔢Comment_Length,📆Reply_Year,📅Reply_Month,📅Reply_Day,⏰Reply_Hour_12,🌓Reply_AM_PM,🧹Content_Clean,🎯 Theme,🧩 Subtheme,😊 Sentiment,🖊️ Notes,🌐 Language,Theme_GT,Subtheme_GT,Sentiment_GT
عبدالملك,5,حبيته,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,4,PM,Afternoon,5,2025,7,28,5,PM,حبيته,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Salah Alahmadi,4,خدمة الموعد فقط المستفاد منها,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,3,PM,Afternoon,29,2025,7,28,3,PM,خدمة الموعد فقط المستفاد منها,Content & Services,Appointment Booking,Negative,NA,Arabic,Content & Services,Appointment Booking,Negative
يسلم الصيعري,5,تطيب ممتاز وسهل الاستعمال,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,2,PM,Afternoon,25,2025,7,28,2,PM,تطيب ممتاز وسهل الاستعمال,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
khaled abdulaziz,5,بشكل عام جيد,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,1,PM,Afternoon,12,2025,7,28,1,PM,بشكل عام جيد,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
نورة ابراهيم شديد,5,ممتاز جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,1,PM,Afternoon,9,2025,7,28,1,PM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Wnzfff@hotmail.com hdyhd333@hotmail.com,5,تطبيق ممتاز ويلبي التطلعات,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,9,AM,Morning,26,2025,7,28,9,AM,تطبيق ممتاز ويلبي التطلعات,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Turki Mre,5,منتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,8,AM,Morning,5,2025,7,28,9,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
تركي العنزي,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,8,AM,Morning,5,2025,7,28,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
مايا M,5,تطبيق جيد جدا وأكثر من راااائع,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,7,AM,Morning,30,2025,7,28,8,AM,تطبيق جيد جدا واكثر من رائع,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
هيلة الحصان,5,سرعة و سهولة الاستخدام,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,7,AM,Morning,22,2025,7,28,8,AM,سرعة و سهولة الاستخدام,User Experience & Sentiment,Ease Of Use,Positive,NA,Arabic,User Experience & Sentiment,Ease of Use,Positive
Ahmed Alsindhi,5,حلو,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,5,AM,Morning,3,2025,7,28,8,AM,حلو,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
أبو نوران,5,حلو برنامج صحتي استخدام سهل جدا جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,2,AM,Night,35,2025,7,28,8,AM,حلو برنامج صحتي استخدام سهل جدا,User Experience & Sentiment,Ease Of Use,Positive,NA,Arabic,User Experience & Sentiment,Ease of Use,Positive
منصور احمد,3,جيد,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,28,2,AM,Night,3,2025,7,28,8,AM,جيد,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Meme,1,التطبيق مو شغال في حجز مواعيد,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,27,11,PM,Night,29,2025,7,28,8,AM,التطبيق مو شغال في حجز مواعيد,Content & Services,Appointment Booking,Negative,NA,Arabic,Content & Services,Appointment Booking,Negative
JAMAL Kurdy,4,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,11,PM,Night,5,2025,7,28,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
جهاد الحسين,4,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,9,PM,Evening,5,2025,7,27,9,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Abdallah abdulmutaleb,5,. ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,9,PM,Evening,7,2025,7,27,9,PM,. ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
احمد عبد الرحيم,5,جميل,"شاكرين لك تقييمك , نتمنى لك دوام الصحة والعافية",2025,7,27,8,PM,Evening,4,2025,7,27,9,PM,جميل,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Mr M Albaidhy,5,ممتاز ورائع,"شاكرين لك تقييمك , نتمنى لك دوام الصحة والعافية",2025,7,27,7,PM,Evening,11,2025,7,27,9,PM,ممتاز ورائع,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
شايف وساكت ومقهور,5,ممتاز بارك الله فيكم,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,4,PM,Afternoon,20,2025,7,27,6,PM,ممتاز بارك فيكم,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Abraham,5,بارك الله فيكم جميعا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,3,PM,Afternoon,20,2025,7,27,4,PM,بارك فيكم جميعا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Mohya M0hamed,5,مشاء الله,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,2,PM,Afternoon,9,2025,7,27,3,PM,ما شاء,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
خالد المهاجر,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,2,PM,Afternoon,5,2025,7,27,3,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
TARIK Mohamed,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,2,PM,Afternoon,5,2025,7,27,3,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
VToo,2,التطبيق لا يعمل ب الشكل المطلوب التحاليل وبعض الامور ما تطلع من سامسونج ٢٤Ultre,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,27,12,PM,Afternoon,79,2025,7,27,1,PM,التطبيق لا يعمل ب الشكل المطلوب التحاليل وبعض الامور ما تطلع من سامسونج ٢٤Ultre,Technical Performance,Errors / Bugs,Negative,NA,Arabic,Technical Performance,Errors / Bugs,Negative
حور حامدي,5,تطبيق روعه ومنظم,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,12,PM,Afternoon,16,2025,7,27,1,PM,تطبيق روعة ومنظم,User Experience & Sentiment,Ease Of Use,Positive,NA,Arabic,User Experience & Sentiment,Ease of Use,Positive
مدري علمك,5,ممتاز جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,10,AM,Morning,9,2025,7,27,11,AM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Masoib Hasaballah,5,الله يشفي كل مريض,NA,2025,7,27,10,AM,Morning,17,NA,NA,NA,NA,NA,يشفي كل مريض,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
msh22 a,4,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,10,AM,Morning,5,2025,7,27,11,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عبدالعزيز الزهراني,5,من أفضل التطبيقات. جزاكم الله خيراً على ما تقومون به في هذا التطبيق 📲 وشكراً لفريق العمل عليه ❤💕,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,7,AM,Morning,96,2025,7,27,8,AM,من افضل التطبيقات. جزاكم خيرا علي ما تقومون به في هذا التطبيق 📲 وشكرا لفريق العمل عليه ❤💕,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
محمد عبد الرحمن. شرف الدين,1,لا يعمل,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,27,7,AM,Morning,7,2025,7,27,8,AM,لا يعمل,Technical Performance,Crashes / Freezes,Negative,NA,Arabic,Technical Performance,Crashes / Freezes,Negative
محمد المسلماني,5,طبيق ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,6,AM,Morning,10,2025,7,27,8,AM,طبيق ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
حسن الحجوري,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,4,AM,Night,5,2025,7,27,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
mahmuod Yamani,5,تمام,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,1,AM,Night,4,2025,7,27,8,AM,تمام,User Experience & Sentiment,Overall Satisfaction,Neutral,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Neutral
عبدالله قيسي,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,1,AM,Night,5,2025,7,27,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ابو جبران المزحاني,5,👍,"شاكرين لك تقييمك , نتمنى لك دوام الصحة والعافية",2025,7,27,12,AM,Night,1,2025,7,27,8,AM,👍,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عصام الوادي,5,احلى تطبيق,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,27,12,AM,Night,10,2025,7,27,8,AM,احلي تطبيق,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
البدر العمراني,5,لاباس,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,11,PM,Night,5,2025,7,27,8,AM,لاباس,User Experience & Sentiment,Overall Satisfaction,Neutral,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Neutral
ابوبكر محمد عبدالكريم مختار,5,تطبيق جميل,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,10,PM,Night,10,2025,7,27,8,AM,تطبيق جميل,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
يحيى الصبحي,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,6,PM,Evening,5,2025,7,26,9,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عمر علاء أبو النصر.,5,للاهتمام بالصحة تطبيق حكومي مميز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,4,PM,Afternoon,32,2025,7,26,9,PM,للاهتمام بالصحة تطبيق حكومي مميز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
NAIMAH Hazmi,5,جيد,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,2,PM,Afternoon,3,2025,7,26,9,PM,جيد,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
smsk smskh,5,رائع,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,2,PM,Afternoon,4,2025,7,26,2,PM,رائع,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
علي الخليفي,5,👍,"شاكرين لك تقييمك , نتمنى لك دوام الصحة والعافية",2025,7,26,10,AM,Morning,1,2025,7,26,11,AM,👍,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
شقران الدوسري,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,8,AM,Morning,5,2025,7,26,9,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Warf Almshy,1,مزعج كل مره تسجيل الدخول,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,26,6,AM,Morning,24,2025,7,26,9,AM,مزعج كل مرة تسجيل الدخول,Security & Support,Login / OTP,Negative,NA,Arabic,Security & Support,Login / OTP,Negative
عمار السريحي,5,شكرن لكم,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,3,AM,Night,8,2025,7,26,9,AM,شكراً لكم,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
رياض الغامدي,5,شكرا لجهودكم,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,26,2,AM,Night,12,2025,7,26,9,AM,شكرا لجهودكم,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
اكرم الحطامي,5,جيد جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,8,PM,Evening,7,2025,7,25,10,PM,جيد جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Qwe Qwe,5,رائع,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,8,PM,Evening,4,2025,7,25,10,PM,رائع,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ابو حنين,5,شكرا صحتي,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,8,PM,Evening,9,2025,7,25,10,PM,شكرا صحتي,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
مفلح,1,لاباس,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,6,PM,Evening,5,2025,7,25,7,PM,لاباس,User Experience & Sentiment,Ease Of Use,Neutral,NA,Arabic,User Experience & Sentiment,Ease of Use,Neutral
ابو يحيى يحيى,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,4,PM,Afternoon,5,2025,7,25,7,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Abdalaziz Alshamre,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,2,PM,Afternoon,5,2025,7,25,7,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Munera Saleh,2,لايتم الرد على الاستشاره الا بعد ايام,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,25,1,PM,Afternoon,37,2025,7,25,7,PM,لايتم الرد علي الاستشاره الا بعد ايام,Content & Services,Teleconsultation,Negative,NA,Arabic,Content & Services,Teleconsultation,Negative
Mo Ha,4,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,12,PM,Afternoon,5,2025,7,25,7,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عبدالعزيز السلماني,5,👍,"شاكرين لك تقييمك , نتمنى لك دوام الصحة والعافية",2025,7,25,10,AM,Morning,1,2025,7,25,11,AM,👍,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
sameer albloushi,5,انا أصم قول اشكرك على صحتي,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,9,AM,Morning,26,2025,7,25,11,AM,انا اصم قول اشكرك علي صحتي,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
مريم عتين,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,2,AM,Night,5,2025,7,25,11,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
متعب السلمي,5,ممتا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,12,AM,Night,4,2025,7,25,11,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
مشعل المشعل,5,جزاكم الله خير,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,25,12,AM,Night,14,2025,7,25,11,AM,جزاكم خير,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
غيداء حكمي,5,غيرت اسمي ف نظام الاحوال المدنية كيف اغيره بملفي ف تطبيق صحتي .,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,24,9,PM,Evening,63,2025,7,24,10,PM,غيرت اسمي ف نظام الاحوال المدنية كيف اغيره بملفي ف تطبيق صحتي .,Security & Support,Account Access Issues,Neutral,NA,Arabic,Security & Support,Account Access Issues,Neutral
براهيم القيسي,5,متتازين,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,9,PM,Evening,7,2025,7,24,10,PM,متتازين,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عامر دربي,5,ممتاز جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,7,PM,Evening,9,2025,7,24,10,PM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
high light media Music,1,"لا يمكنني حجز موعد ، بعد الدخول الي نفاذ التطبيق يظل في نفاذ ولا يخرج منة لحجز موعد في نظري هذة مشكلة سيئة الحين هذي المرة الرابعة أحذفة وأنزلة وهذي المرة الأخيرة","شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,24,5,PM,Afternoon,162,2025,7,24,10,PM,"لا يمكنني حجز موعد ، بعد الدخول الي نفاذ التطبيق يظل في نفاذ ولا يخرج منة لحجز موعد في نظري هذة مشكلة سيية الحين هذي المرة الرابعة احذفة وانزلة وهذي المرة الاخيرة",Content & Services,Appointment Booking,Negative,NA,Arabic,Content & Services,Appointment Booking,Negative
Mm Mm,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,5,PM,Afternoon,5,2025,7,24,5,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
نور محمد,1,وش هالاشعارات الغبية !!! يذكرك قبلها بيوم وقبل الموعد بعشر دقايق ما يذكرك ؟!!!! كم مره ومره تروح علي المواعيد بسبب هالحركة الغبية !!! احجز موعد و انشغل وبسبب تذكيرهم الخاطئ اتجاهل ثم لما يجي الوقت انسى يا تذكروني بنفس اليوم يا بلاها !!!!,NA,2025,7,24,4,PM,Afternoon,237,NA,NA,NA,NA,NA,وش هالاشعارات الغبية ! يذكرك قبلها بيوم وقبل الموعد بعشر دقايق ما يذكرك ؟! كم مرة ومره تروح علي المواعيد بسبب هالحركة الغبية ! احجز موعد و انشغل وبسبب تذكيرهم الخاطي اتجاهل ثم لما يجي الوقت انسي يا تذكروني بنفس اليوم يا بلاها !,Content & Services,Appointment Booking,Negative,NA,Arabic,Content & Services,Appointment Booking,Negative
Mansor 1379,5,افضل المراكز من الكشف والعلاج والاستقبال مراكز العريجاء الي كشفت عندهم,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,4,PM,Afternoon,70,2025,7,24,4,PM,افضل المراكز من الكشف والعلاج والاستقبال مراكز العريجاء الي كشفت عندهم,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
طلال الزهراني,5,برنامج صحتي سريع ومتفاعل مع كل عميل,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,3,PM,Afternoon,35,2025,7,24,4,PM,برنامج صحتي سريع ومتفاعل مع كل عميل,Technical Performance,App Speed,Positive,NA,Arabic,Technical Performance,App Speed,Positive
يحي حشروف,5,شكرا والله من القلب على الخدمات وعن الصوره الي توصله للمواطنين حسن الاختيار وحسن التعموال نشر صوره عن المملكة العربية السعودية,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,3,PM,Afternoon,126,2025,7,24,4,PM,شكرا والله من القلب علي الخدمات وعن الصوره الي توصله للمواطنين حسن الاختيار وحسن التعموال نشر صوره عن المملكة العربية السعودية,Content & Services,Teleconsultation,Positive,NA,Arabic,Content & Services,Teleconsultation,Positive
Neno,1,والله لوفيه اقل من النجمه كان حطيت مو موجود مكان الحجززز كل ما جيت احجز ما الاقي الحجز,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,24,2,PM,Afternoon,86,2025,7,24,4,PM,والله لوفيه اقل من النجمه كان حطيت مو موجود مكان الحجز كل ما جيت احجز ما الاقي الحجز,User Experience & Sentiment,Overall Satisfaction,Negative,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Negative
علاء الزرقان,5,شكرا لكم على الخدمات,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,1,PM,Afternoon,20,2025,7,24,2,PM,شكرا لكم علي الخدمات,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
نرجس القطان,5,اشكرك كل الشكر الممرضه المتعاونه ندى الراشد وجزيل الشكر ل د/محمد الراضي ع جهودهما المتميزه 👍👍,NA,2025,7,24,1,PM,Afternoon,93,NA,NA,NA,NA,NA,اشكرك كل الشكر الممرضه المتعاونه ندي الراشد وجزيل الشكر ل د/محمد الراضي ع جهودهما المتميزه 👍👍,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عاصمي العاصمي,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,12,PM,Afternoon,5,2025,7,24,1,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Safea Alqalp,1,البرنامج كان معلق حذفته ونزلته ثاني من شهر وميظهر عندي في التطبيقات لازم كل مره ادخل على برنامج تنزيل التطبيقات وادخل منه,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,7,24,11,AM,Morning,121,2025,7,24,12,PM,البرنامج كان معلق حذفته ونزلته ثاني من شهر وميظهر عندي في التطبيقات لازم كل مرة ادخل علي برنامج تنزيل التطبيقات وادخل منه,Content & Services,Reports / Documents,Negative,NA,Arabic,Content & Services,Reports / Documents,Negative
Ibrahim Slama,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,7,24,11,AM,Morning,5,2025,7,24,12,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
